SampleID,Amino sugar,Carbohydrate,Cond. HC,Lignin,Lipid,Other,Protein,Tannin,Unsat. HC
Sample1,4.92,8.88,26.98,30.62,3.77,1.15,7.63,10.19,5.87
Sample10,2.31,1.29,12.56,53.95,2.76,0.18,12.02,6.85,8.08
Sample11,2.62,1.22,10.26,52.51,3.65,0.15,14.54,6.05,9.0
Sample12,0.97,0.97,36.81,39.94,1.18,0.24,5.36,12.85,1.7
Sample13,2.44,1.54,10.1,55.98,2.79,0.14,13.61,5.01,8.38
Sample14,4.27,9.3,25.74,31.63,5.39,1.53,7.82,6.83,7.5
Sample15,5.2,10.26,28.99,26.9,2.8,1.75,6.95,12.15,4.99
Sample16,2.73,1.78,11.03,50.34,3.6,0.2,15.7,3.24,11.39
Sample17,2.9,2.18,12.61,52.63,2.99,0.09,13.37,3.25,9.98
Sample18,4.76,10.46,28.25,27.5,3.27,1.62,7.4,11.32,5.42
Sample19,5.69,11.56,24.29,28.73,3.7,1.35,9.07,9.39,6.22
Sample2,2.94,10.82,35.22,29.33,1.95,1.38,5.6,10.77,1.99
Sample20,2.59,2.25,11.81,50.21,3.75,0.34,14.55,4.05,10.46
Sample21,2.75,2.23,12.05,49.03,4.03,0.17,15.79,3.05,10.9
Sample22,3.47,11.07,35.15,29.18,1.83,1.4,5.49,9.77,2.65
Sample23,0.74,1.42,44.17,32.01,1.23,0.49,3.79,15.6,0.55
Sample24,4.97,10.47,31.24,31.66,0.74,1.22,4.18,13.48,2.06
Sample3,0.76,2.57,35.12,41.29,0.69,0.23,3.86,15.18,0.3
Sample4,1.98,2.36,33.05,43.15,2.36,0.57,5.67,10.01,0.85
Sample5,4.97,10.6,26.0,28.88,3.25,1.24,8.45,10.6,6.0
Sample6,5.8,9.62,23.48,33.75,3.79,0.61,8.33,8.33,6.28
Sample7,5.47,10.59,20.85,34.79,4.06,0.83,9.69,6.97,6.75
Sample8,5.21,11.09,21.58,33.76,3.63,0.83,9.87,7.29,6.73
Sample9,1.83,0.78,17.21,52.5,2.43,0.05,9.66,9.79,5.75
