Treatment,Mass,mean
A,199.0070207,0.0
A,201.0768158,0.0
A,205.014339,0.0
A,205.0506919,0.0
A,209.0091605,0.0
A,221.009321,0.0
A,221.0817885,0.0
A,223.0248453,0.0
A,223.0610378,0.0
A,225.003994,0.0
A,225.0767046,0.0
A,227.0559697,0.0
A,227.092361,0.0
A,229.0255009,0.0
A,229.0716515,0.0
A,229.1080393,0.0
A,231.0298422,0.0
A,231.0873455,0.0
A,231.1237194,0.0
A,233.009069,0.0
A,233.0454599,0.0
A,233.0818677,0.0
A,233.1182287,0.0
A,233.1546223,0.0
A,235.0247419,0.0
A,235.0611374,0.0
A,235.097524,0.0
A,237.0040472,0.0
A,237.0403769,0.0
A,237.0768042,0.0
A,237.1131973,0.0
A,239.0197194,0.0
A,239.0561198,0.0
A,239.0924756,0.0
A,239.1288627,0.0
A,241.035292,0.0
A,241.0717681,0.0
A,241.1081598,0.0
A,241.1445308,0.0
A,242.1761762,0.0
A,243.0298647,0.0
A,243.0510479,0.0
A,243.0874267,0.0
A,243.1238245,0.0
A,243.160194,0.0
A,245.0092122,0.0
A,245.0455425,0.0
A,245.0667186,0.0
A,245.0819661,0.0
A,245.1030708,0.0
A,246.0407787,0.0
A,247.0248854,0.0
A,247.0612526,0.0
A,247.0976199,0.0
A,247.1186983,0.0
A,247.1339706,0.0
A,248.0200235,0.0
A,248.0564527,0.0
A,249.0040881,0.0
A,249.0404976,0.0
A,249.0768962,0.0
A,249.1133023,0.0
A,249.1496907,0.0
A,250.9833625,0.0
A,251.0197378,0.0
A,251.0562116,0.0
A,251.0925682,0.0
A,251.1289414,0.0
A,252.0514304,0.0
A,252.999028,0.0
A,253.0354403,0.0
A,253.0718483,0.0
A,253.1082365,0.0
A,253.1445994,0.0
A,255.0146806,0.0
A,255.0298842,0.0
A,255.0511271,0.0
A,255.0662366,0.0
A,255.087526,0.0
A,255.1239104,0.0
A,255.2329597,0.0
A,257.0091946,0.0
A,257.0303642,0.0
A,257.045611,0.0
A,257.0667883,0.0
A,257.0820169,0.0
A,257.103182,0.0
A,257.1395584,0.0
A,257.1759093,0.0
A,258.0409155,0.0
A,258.0771375,0.0
A,259.0249375,0.0
A,259.0460541,0.0
A,259.0612963,0.0
A,259.0724524,0.0
A,259.0824266,0.0
A,259.0977444,0.0
A,259.118843,0.0
A,259.1551631,0.0
A,260.0565786,0.0
A,261.0041784,0.0
A,261.0405817,0.0
A,261.0517055,0.0
A,261.076981,0.0
A,261.0980307,0.0
A,261.1133841,0.0
A,261.1344412,0.0
A,262.0357708,0.0
A,262.0469533,0.0
A,263.0198224,0.0
A,263.0562757,0.0
A,263.0674794,0.0
A,263.092652,0.0
A,263.1290156,0.0
A,264.0514905,0.0
A,264.9990784,0.0
A,265.0354598,0.0
A,265.0719223,0.0
A,265.0832586,0.0
A,265.1082862,0.0
A,265.1446727,0.0
A,266.0672389,0.0
A,267.0147707,0.0
A,267.0511973,0.0
A,267.0875872,0.0
A,267.1239476,0.0
A,267.1603702,0.0
A,268.0463315,0.0
A,268.0828714,0.0
A,268.9939793,0.0
A,269.0304128,0.0
A,269.0456064,0.0
A,269.0567455,0.0
A,269.0667841,0.0
A,269.078106,0.0
A,269.0820601,0.0
A,269.1032271,0.0
A,269.1396081,0.0
A,269.1758203,0.0
A,270.0408511,0.0
A,270.062034,0.0
A,270.0985096,0.0
A,270.2076427,0.0
A,271.0248994,0.0
A,271.0360909,0.0
A,271.0461567,0.0
A,271.0613238,0.0
A,271.0725585,0.0
A,271.0824541,0.0
A,271.0977844,0.0
A,271.1188774,0.0
A,271.1552566,0.0
A,271.1915615,0.0
A,272.0565241,0.0
A,273.0041166,0.0
A,273.0044413,0.0
A,273.0253147,0.0
A,273.0406701,0.0
A,273.0618119,0.0
A,273.0770331,0.0
A,273.0804404,0.0
A,273.0981055,0.0
A,273.1134869,0.0
A,273.1344967,0.0
A,273.1709275,0.0
A,274.0358628,0.0
A,274.0469353,0.0
A,274.0721494,0.0
A,275.0198331,0.0
A,275.0310212,0.0
A,275.0564064,0.0
A,275.0673713,0.0
A,275.0925934,0.0
A,275.1137811,0.0
A,275.1291064,0.0
A,275.1500868,0.0
A,276.0150126,0.0
A,276.0515094,0.0
A,276.0879507,0.0
A,276.9990213,0.0
A,276.9994473,0.0
A,277.035579,0.0
A,277.0466065,0.0
