SampleID,Shannon,Gini_Simpson,Chao1
Sample1,7.238104382243413,0.992917023738557,4076
Sample2,6.129371954437328,0.9675173819535644,2731
Sample3,7.292511683424134,0.996030523002228,3177
Sample4,6.319890177207251,0.993132322750576,1171
Sample5,6.997346482914885,0.9928851548585634,3469
Sample6,7.264367285737336,0.9962990998945689,3849
Sample7,6.950034474821906,0.992917361929538,4125
Sample8,7.121164208088403,0.9938567952617512,4051
Sample9,6.722101441453516,0.9878926807704966,4122
Sample10,6.952478444454029,0.9923979135134017,3773
Sample11,6.426687320440644,0.9868132461856494,3132
Sample12,6.997904838836904,0.9892857322403334,4085
Sample13,6.599806747614412,0.9903499666085958,3181
Sample14,7.226149538562402,0.9977678393546949,2923
Sample15,6.912769488189013,0.9874170087943078,3713
Sample16,6.735945420333067,0.9910048890972913,3071
Sample17,6.711180580713039,0.9919335990806901,2727
Sample18,7.505238535897101,0.9970722317103993,4188
Sample19,6.521819808914616,0.987836964220677,3742
Sample20,6.6330842914612385,0.9898525886933438,3265
Sample21,6.430173550898746,0.9870164673664972,2884
Sample22,6.883281501535609,0.9912555121871474,2693
Sample23,6.999849706818632,0.9897088964869691,3265
Sample24,6.450580679816284,0.9951887645900768,2236
