SampleID,Group,Transformation,Formula,Counts,Perc_Counts
Sample2,Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,1,5.983366241847663e-05
Sample2,Other,Palmitoylation_(-H2O)/Palmitoyl_Conjugation_(-H),C16H30O_C16H31O,2,0.00011966732483695327
Sample2,Abiotic,GSH_Conjugation_(on_Bromine)_(-Br),C10H16N3O6S,2,0.00011966732483695327
Sample2,Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,2,0.00011966732483695327
Sample2,Amino Acid,Thymidine_5_monophosphate_(-H2O),C10H13N2O7P,3,0.0001795009872554299
Sample2,Other,Phytochelatin,C10H16N3O6S-,4,0.00023933464967390653
Sample2,Other,Alliin,C6H11NO3S,4,0.00023933464967390653
Sample2,Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,6,0.0003590019745108598
Sample2,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,7,0.0004188356369293364
Sample2,Amino Acid,Methionine_(-H2O),C5H9NOS,8,0.00047866929934781307
Sample2,Abiotic,GSH_Conjugation_2,C10H17N3O6S,8,0.00047866929934781307
Sample2,Amino Acid,Cysteine_Conjugation_2,C3H7NO2S,8,0.00047866929934781307
Sample2,Sugar,Disaccharide_(-H2O),C12H20O11,8,0.00047866929934781307
Sample2,Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,9,0.0005385029617662897
Sample2,Amino Acid,Uridine_(-H2O),C9H10N2O5,10,0.0005983366241847664
Sample2,Amino Acid,Cytidine_5_monophsophate_(-H2O),C9H12N3O7P,10,0.0005983366241847664
Sample2,Amino Acid,Thymidine_(-H2O),C10H12N2O4,10,0.0005983366241847664
Sample2,Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,11,0.000658170286603243
Sample2,Amino Acid,Uridine_5_monophosphate_(-H2O),C9H11N2O8P,11,0.000658170286603243
Sample2,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,12,0.0007180039490217197
Sample2,Amino Acid,Adenosine_5_monophosphate_(-H2O),C10H12N5O6P,12,0.0007180039490217197
Sample2,Amino Acid,Cysteine_(-H2O),C3H5NOS,12,0.0007180039490217197
Sample2,Other,Taurine_Conjugation_(-OH),C2H6NO3S,13,0.0007778376114401963
Sample2,Other,Diphosphate,H3O6P2,15,0.0008975049362771495
Sample2,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,15,0.0008975049362771495
Sample2,Other,Pyridoxal_phosphate_(-H2O),C8H8NO5P,18,0.0010770059235325794
Sample2,Abiotic,GSH_Conjugation_1,C10H15N3O6S,18,0.0010770059235325794
Sample2,Amino Acid,Glutathione_(-H2O),C10H15N3O5S,21,0.0012565069107880094
Sample2,Amino Acid,Adenosine_(-H2O),C10H11N5O3,23,0.0013761742356249627
Sample2,Amino Acid,Tryptophan_(-H2O),C11H10N2O,23,0.0013761742356249627
Sample2,Abiotic,GSH_Conjugation_(on_Fluorine)_(-F),C10H16N3O6S,25,0.001495841560461916
Sample2,Abiotic,Phosphate,HPO3,26,0.0015556752228803926
Sample2,Abiotic,Isoprene_addition_(-H),C5H7,27,0.0016155088852988692
Sample2,Abiotic,Reductive_Debromination_(-Br),H,29,0.0017351762101358223
