Feature_X,Feature_Y,Difference,Group,Transformation,Formula,mf,SampleID
539.211183,523.215972,15.995211,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
539.211183,525.195339,14.015844,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
539.211183,511.179391,28.031792,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
539.211183,511.215675,27.995508,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
539.211183,497.199623,42.01156,Abiotic,Acetylation_(-H2O),C2H2O,42.010565,Sample18
539.211183,509.236256,29.974927,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
539.211183,521.244707,17.966476,Abiotic,Oxidative_Dechlorination_(-Cl),HO,17.966110,Sample18
539.211183,541.227037,2.015854,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
539.211183,505.24939,33.961793,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample18
539.211183,557.222724,18.011541,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
539.211183,555.206646,15.995463,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
571.173957,553.162619,18.011338,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
571.173957,599.205314,28.031357,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
571.173957,599.169009,27.995052,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
571.173957,573.189673,2.015716,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
571.173957,597.189263,26.015306,Abiotic,C2H2,C2H2,26.015650,Sample18
571.173957,457.130928,114.043029,Amino Acid,Asparagine_(-H2O),C4H6N2O2,114.042928,Sample18
571.173957,585.189705,14.015748,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
571.173957,415.07329,156.100667,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,156.101111,Sample18
571.173957,545.15742,26.016537,Abiotic,C2H2,C2H2,26.015650,Sample18
571.173957,500.135879,71.038078,Amino Acid,Alanine_(-H2O),C3H5NO,71.037114,Sample18
571.173957,504.119612,67.054345,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample18
571.173957,555.178676,15.995281,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
571.173957,587.168747,15.99479,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
571.173957,569.158118,2.015839,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
571.173957,557.157741,14.016216,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
571.173957,601.148318,29.974361,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
635.243261,617.232052,18.011209,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
635.243261,619.24834,15.994921,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
635.243261,621.226779,14.016482,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
635.243261,633.228211,2.01505,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
635.243261,663.238892,27.995631,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
635.243261,665.218261,29.975,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
635.243261,607.248038,27.995223,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
635.243261,605.268632,29.974629,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
635.243261,609.227349,26.015912,Abiotic,C2H2,C2H2,26.015650,Sample18
561.152819,547.136546,14.016273,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
561.152819,427.106755,134.046064,Amino Acid,Adenine_(-H),C5H4N5,134.046670,Sample18
561.152819,546.142423,15.010396,Abiotic,Secondary_amine,NH,15.010899,Sample18
561.152819,589.147819,27.995,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
561.152819,641.108637,79.955818,Abiotic,Sulfation_(-H)/Sulfate(-H2O),HO3S_SO3,79.956810,Sample18
561.152819,559.136918,2.015901,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
561.152819,575.168651,14.015832,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
561.152819,405.052173,156.100646,Amino Acid,Arginine_(-H2O)/Arginine_Conjugation_(-OH),C6H12N4O_C6H13N4O2,156.101111,Sample18
561.152819,545.15742,15.995399,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
561.152819,494.098852,67.053967,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample18
561.152819,504.119612,57.033207,Abiotic,Acetone_(-H),C3H5O,57.034040,Sample18
561.152819,504.130783,57.022036,Amino Acid,Glycine_Conjugation_(-OH),C2H4NO2,57.021460,Sample18
561.152819,579.142623,17.989804,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample18
561.152819,587.168747,26.015928,Abiotic,C2H2,C2H2,26.015650,Sample18
551.146951,553.162619,2.015668,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
551.146951,565.163028,14.016077,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
551.146951,577.163382,26.016431,Abiotic,C2H2,C2H2,26.015650,Sample18
551.146951,286.065474,265.081477,Amino Acid,Guanosine_(-H2O),C10H11N5O4,265.081104,Sample18
551.146951,325.068752,226.078199,Abiotic,Biotinyl_(-H2O),C10H14N2O2S,226.077600,Sample18
551.146951,567.142318,15.995367,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
551.146951,569.137267,17.990316,Abiotic,Reductive_Defluorination_(-F),H,17.990580,Sample18
551.146951,375.113877,176.033074,Sugar,Glucuronic_Acid_(-H2O)/Glucuronide_Conjugation_(-H),C6H8O6,176.032088,Sample18
551.146951,525.130678,26.016273,Abiotic,C2H2,C2H2,26.015650,Sample18
551.146951,389.093475,162.053476,Sugar,Glucoside_Conjugation_(-H),C6H11O5,162.052820,Sample18
551.146951,523.151235,27.995716,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
551.146951,521.171968,29.974983,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
551.146951,533.136074,18.010877,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
551.146951,523.114886,28.032065,Abiotic,Ethyl_addition_(-H2O),C2H4,28.031300,Sample18
551.146951,535.151643,15.995308,Abiotic,Oxidation/Hydroxylation_(-H),O,15.994910,Sample18
551.146951,631.113758,79.966807,Abiotic,Phosphate,HPO3,79.966332,Sample18
551.146951,537.130698,14.016253,Abiotic,Methylation_(-H),CH3,14.015650,Sample18
551.146951,585.107627,33.960676,Abiotic,Reductive_Dechlorination_(-Cl),H,33.961030,Sample18
551.146951,566.158133,15.011182,Abiotic,Secondary_amine,NH,15.010899,Sample18
551.146951,302.060507,249.086444,Amino Acid,Adenosine_(-H2O),C10H11N5O3,249.086189,Sample18
551.146951,549.131146,2.015805,Abiotic,Hydrogenation/dehydrogenation,H2,2.015650,Sample18
551.146951,581.121422,29.974471,Abiotic,Nitro_Reduction_(-O2),H2,29.974180,Sample18
551.146951,448.137125,103.009826,Amino Acid,Cysteine_(-H2O),C3H5NOS,103.009186,Sample18
551.146951,484.093102,67.053849,Abiotic,Isoprene_addition_(-H),C5H7,67.054775,Sample18
551.146951,579.142623,27.995672,Abiotic,Formic_Acid_(-H2O),CO,27.994915,Sample18
551.146951,569.158118,18.011167,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
583.101098,565.090139,18.010959,Abiotic,Condensation/hydration/dehydration,H2O,18.010565,Sample18
583.101098,557.08501,26.016088,Abiotic,C2H2,C2H2,26.015650,Sample18
583.101098,702.104411,119.003313,Amino Acid,Cysteine_Conjugation_1_(-H),C3H6NO2S,119.004100,Sample18
